Id,VariableName,Description,AssetType,Manufacturer,RailroadId,VariableType,ParsingRule,ParsingStructure
0x0029 ,ISMP Statistics,Total ISMP Messages Received/ Last ISMP Message Received Time/ Total ISMP Messages Sent/ Last ISMP MessageSent Time/ Total ISMP Protocol Errors/ Total ISMP Authentication Errors/ Total ISMP Data Integrity Errors/ Total ISMP Other Errors/ ISMP Statistics Reset Time,Others,Others,Others,string,CSV Format,{} 
0x002a ,Hardware Topology, Complete topology for all hardware on all components,Others,Others,Others,binary,structure,{}
0x002b ,Software Topology, Complete topology for all software on all components,Others,Others,Others,binary,structure,{}
0x002c ,Out-of-System Login Statistics,Total Out-of-System Logins/ Total Failed Out-of-System Logins/ Out-of-System Login Reset Time,Others,Others,Others,string,CSV Format,{}
0x002d ,Archived Log File Name,Name of the log file that was rolled/archived,Others,Others,Others,string,string,{}
0x002e ,Process list,cmd/ ppid/ pid/ uid/ time,Others,Others,Others,string,CSV Format,{}
0x002f ,Current System Time,Current time the asset is using,Others,Others,Others,integer,unix time,{}
0x0030 ,Swap space allocated,Amount of physical storage allocated for memory swapping,Others,Others,Others,integer,MB,{}
0x0031 ,Swap space used, Amount of swap space used,Others,Others,Others,integer,MB,{}
0x0032 ,CPU Load Average One Minute, Average processor load for a one minute time period,Others,Others,Others,integer,decimal,{}
0x0033 ,CPU Load Average Five Minutes, Average processor load for a five minute time period,Others,Others,Others,integer,decimal,{}
0x0034 ,CPU Load Average Fifteen Minutes, Average processor load over a fifteen minute time period,Others,Others,Others,integer,decimal,{}
0x0035 ,Free Memory Ratio, 8age of free memory available,Others,Others,Others,integer,percent,{}
0x0036 ,Swap Space Used Ratio, 8age of swap space used,Others,Others,Others,integer,percent,{}
0x0037 ,Average Available Memory for Configured Time Period, Average available memory over Available Memory Configured Time Period ,Others,Others,Others,integer,decimal,{}
0x0038 ,LowestAvailable Memory for Configured Time Period, Lowest available memory over Available Memory Configured Time Period ,Others,Others,Others,integer,decimal,{}
0x0039 ,Configured Time Period, Configurable Time period in seconds,Others,Others,Others,integer,decimal,{}
0x003A,Voltage,List of power sources and readings: Source/ Voltage,Others,Others,Others,integer,CSV Format,{}
0x003B,Temperature,Temperature reading,Others,Others,Others,integer,integer,{}
0x003C,SMID,System Management Identifier,Others,Others,Others,string,string,{}
0x003D,Host,Host name,Others,Others,Others,string,string,{}
0x003E,Process,Process Identification: Process ID/ Name,Others,Others,Others,integer,CSV Format,{}
0x003F,Device Initiation ? Count,Count of boots and reboots,Others,Others,Others,integer,count,{}
0x0040,Device Initiation ? Count Reset Time,Time device initiation counter was last reset,Others,Others,Others,integer,unix time,{}
0x0041,Device Initiation - Reason,Reason for last reboot that occurred,Others,Others,Others,string,string,{}
0x0042,Out-of-System Login - Time,Time of the last user log in,Others,Others,Others,integer,unix time,{}
0x0043,Out-of-System Login - ID,ID of the last user log in,Others,Others,Others,string,string,{}
0x0044,Out-of-System Login - Reason,Reason for last OOS login if provided by user,Others,Others,Others,string,string,{}
0x0045,Out-of-System Change - Time,Time of last OOS change,Others,Others,Others,integer,unix time,{}
0x0046,Out-of-System Change - Description,Last OOS change description,Others,Others,Others,string,string,{}
0x0047,Kit Load - Time,Time of last kit load attempt,Others,Others,Others,integer,unix time,{}
0x0048,Kit Load - ID,Kit ID of last kit load attempt,Others,Others,Others,integer,unix time,{}
0x0049,Kit Load - Name,Kit Name of the last kit load attempt,Others,Others,Others,string,string,{}
0x004A,Kit Load - Method,"Method of last Kit Load (ITCSM, manual)",Others,Others,Others,string,string,{}
0x004B,Kit Load - Result,Result of last kit load attempt,Others,Others,Others,string,string,{}
0x004C,Failure - Time,Time of Last Failure that occurred,Others,Others,Others,integer,unix time,{}
0x004D,Failure - Description,Last Failure that occurred,Others,Others,Others,string,string,{}
0x004E,Communication Test - Time,Time of last communication test event,Others,Others,Others,integer,unix time,{}
0x004F,Certificates,List of certificates: Type/ Serial Name/ Expiration Date,Others,Others,Others,string,CSV Format,{}
0x0050,Component MD5,MD5 of software component to verify integrity and track changes: Component Name/ MD5 Value,Others,Others,Others,string,CSV Format,{}
0x0051,Interface,Interface State,Others,Others,Others,binary,structure,"{""variableDataType"": [{""fieldBytes"": 16, ""fieldDataType"": ""String"", ""fieldName"": ""Name"", ""fieldRank"": 1}, {""fieldBytes"": 6, ""fieldDataType"": ""2"", ""fieldName"": ""MAC Address"", ""fieldRank"": 2}, {""fieldBytes"": 1, ""fieldDataType"": ""2"", ""fieldName"": ""Admin 0=down 1=up"", ""fieldRank"": 3}, {""fieldBytes"": 1, ""fieldDataType"": ""2"", ""fieldName"": ""Oper  0=down 1=up"", ""fieldRank"": 4}, {""fieldBytes"": 4, ""fieldDataType"": ""2"", ""fieldName"": ""MTU"", ""fieldRank"": 5}, {""fieldBytes"": 4, ""fieldDataType"": ""2"", ""fieldName"": ""IP Address"", ""fieldRank"": 6}, {""fieldBytes"": 4, ""fieldDataType"": ""2"", ""fieldName"": ""Net Mask"", ""fieldRank"": 7}, {""fieldBytes"": 4, ""fieldDataType"": ""2"", ""fieldName"": ""Broadcast"", ""fieldRank"": 8}, {""fieldBytes"": 4, ""fieldDataType"": ""2"", ""fieldName"": ""Speed"", ""fieldRank"": 9}]}"
0x0052,Interface Statistics,Interface statistics,Others,Others,Others,binary,structure,"{""variableDataType"": [{""fieldBytes"": 16, ""fieldDataType"": ""String"", ""fieldName"": ""Name"", ""fieldRank"": 1}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""RX Bytes"", ""fieldRank"": 2}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""RX Packets "", ""fieldRank"": 3}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""RX Errors "", ""fieldRank"": 4}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""RX Dropped "", ""fieldRank"": 5}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""RX Overrun "", ""fieldRank"": 6}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""RX Multicast"",  ""fieldRank"": 7}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""TX Bytes"", ""fieldRank"": 8}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""TX Packets"",  ""fieldRank"": 9}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""TX Errors"",  ""fieldRank"": 9}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""TX Dropped"",  ""fieldRank"": 10}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""TX Carrier"", ""fieldRank"": 11}, {""fieldBytes"": 8, ""fieldDataType"": ""2"", ""fieldName"": ""TX Collisions "", ""fieldRank"": 12}]}"
0x0053,IP Route,IP routing state,Others,Others,Others,binary,structure,"{""variableDataType"": [{""fieldBytes"": 4, ""fieldDataType"": ""2"", ""fieldName"": ""Destination"", ""fieldRank"": 1}, {""fieldBytes"": 4, ""fieldDataType"": ""2"", ""fieldName"": ""Gateway"", ""fieldRank"": 2}, {""fieldBytes"": 4, ""fieldDataType"": ""2"", ""fieldName"": ""Mask"", ""fieldRank"": 3}, {""fieldBytes"": 4, ""fieldDataType"": ""2"", ""fieldName"": ""Status"", ""fieldRank"": 4}, {""fieldBytes"": 16, ""fieldDataType"": ""String"", ""fieldName"": ""Interface"", ""fieldRank"": 5}, {""fieldBytes"": 12, ""fieldDataType"": ""String"", ""fieldName"": ""Scope"", ""fieldRank"": 6}, {""fieldBytes"": 4, ""fieldDataType"": ""2"", ""fieldName"": ""Source"", ""fieldRank"": 7}]}"
0x0054,Time Synchronization Failure Reason,Reason time synchronization failed,Others,Others,Others,integer,bitmask,"{""bitmask"": [{""0x00"": ""No failure"",""0x01"": ""No time sync source found"",""0x02"": ""GPS 1PP lost or failed"", ""0x03"": ""Time of Day signal lost or failed"", ""0x04"": ""Class C time source lost or failed"",""0x05"": ""GPS antenna failed"" ,""0x06"": ""No GPS NMEA stream""}]}"
0x0400 ,Asset Type, Asset Type,Others,Others,Others,string,string,{}
0x0410 ,Memory (Total) MB,Memory (Total) MB,Others,Others,Others,string,string,{}
0x0411 ,Memory (Free/Available) MB,Memory (Free/Available) MB,Others,Others,Others,string,string,{}
0x0412 ,Disk (Total) MB,Disk (Total) MB,Others,Others,Others,string,string,{}
0x0413 ,Disk (Free/Available) MB,Disk (Free/Available) MB,Others,Others,Others,string,string,{}
0x0414 ,System Version,System Version,Others,Others,Others,string,string,{}
0x1001 ,CPU (Load average),CPU (Load average),Others,Others,Others,string,string,{}
0x1002 ,"CPU (%user, %system)","CPU (%user, %system)",Others,Others,Others,string,string,{}
0x1003 ,CPU (%system),CPU (%system),Others,Others,Others,string,string,{}
0x1008 ,Memory (buffered) MB, Memory (buffered) MB,Others,Others,Others,string,string,{}
0x1009 ,Memory (cached) MB, Memory (cached) MB,Others,Others,Others,string,string,{}
0x1011 ,Temperature (X86), Temperature (X86),Others,Others,Others,string,string,{}
0x1012 ,Temperature (KVM-Server), Temperature (KVM-Server),Others,Others,Others,string,string,{}
0x1013 ,Temperature (Power supply), Temperature (Power supply),Others,Others,Others,string,string,{}
0x1016 ,Voltage (VIN), Voltage (VIN),Others,Others,Others,string,string,{}
0x1017 ,Voltage (12V), Voltage (12V),Others,Others,Others,string,string,{}
0x1018 ,Voltage (5V), Voltage (5V),Others,Others,Others,string,string,{}
0x1019 ,Voltage (3.3V), Voltage (3.3V),Others,Others,Others,string,string,{}
0x1021 ,"Network (Bytes TX/RX, Packet TX/RX/Dropped) ETH0","Network (Bytes TX/RX, Packet TX/RX/Dropped) ETH0",Others,Others,Others,string,string,{}
0x1022 ,"Network (Bytes TX/RX, Packet TX/RX/Dropped) ETH1","Network (Bytes TX/RX, Packet TX/RX/Dropped) ETH1",Others,Others,Others,string,string,{}
0x1033 ,Disk (Usage %),Disk (Usage %),Others,Others,Others,string,string,{}
0x2000,Instance 15,The unique messaging 15entifier of an instance of a component type. Only used in remote areas.,Messaging System,Others,Others,string,string,{}
0x2000,Device Initiation Count,Count of radio boots and reboots,Radio,Others,Others,integer,count,{}
0x2000,Total EMP Messages Received,CountoftotalEMP messages receivedsince the last reset of the variable,Wayside Interface Unit,Others,Others,integer,count,{}
0x2001,Updated Configuration,"The updated configuration (deprecated, use Change Specifics instead)",Messaging System,Others,Others,string,string,{}
0x2001,Device Initiation Counter Reset Time,Time the device initiation counter was last reset (Unix Time),Radio,Others,Others,integer,unix time,{}
0x2001,Last EMP Message Received Time,Time when the last EMP message was received (not counting current request if applicable),Wayside Interface Unit,Others,Others,integer,unix time,{}
0x2002,Link 15,"15entifier for a connection between two ITCM components, ITCM component to application, ITCM component to radio.",Messaging System,Others,Others,string,string,{}
0x2002,Link ID,"Identifier for a connection between two ITCM components, ITCM component to application, ITCM component to radio.",Radio,Others,Others,string,string,{}
0x2002,Total EMP Messages Sent,Count of total EMP messages sent since the last reset of the variable,Wayside Interface Unit,Others,Others,integer,count,{}
0x2003,App Name,The Application name or 15entifier,Messaging System,Others,Others,string,string,{}
0x2003,App Name,The Application name or identifier,Radio,Others,Others,string,string,{}
0x2003,Last EMP Message Sent Time,Time when the last EMP message was sent,Wayside Interface Unit,Others,Others,integer,unix time,{}
0x2004,App URI,"This is the URI of the connection, should be a combination of host/port (deprecated, use Link 15 instead)",Messaging System,Others,Others,string,string,{}
0x2004,Low Battery,Low Battery,Platform,Others,Others,integer,unix time,{}
0x2004,App URI,"This is the URI of the connection, should be a combination of host/port (deprecated, use Link ID instead)",Radio,Others,Others,string,string,{}
0x2004,Total EMP Protocol Errors,Total number of EMP messages that failed due to EMP protocol errors since the last reset of the variable,Wayside Interface Unit,Others,Others,integer,count,{}
0x2005,App Connection Type,"Type of connection between an application and an AG (AMQP, Class D)",Messaging System,Others,Others,string,string,{}
0x2005,Loss Of Utility Power Detected,Loss Of Utility Power Detected,Platform,Others,Others,integer,unix time,{}
0x2005,Login ID,ID of the last user logged in,Radio,Others,Others,string,string,{}
0x2005,Total EMP Data Integrity Errors,Total number of EMP messages that failed due to EMP CRC data integrity errors since the last reset of the variable,Wayside Interface Unit,Others,Others,integer,count,{}
0x2006,Transport 15,"The network transport connection 15entifier (deprecated, use Link 15 instead)",Messaging System,Others,Others,string,string,{}
0x2006,Loss Of Utility Power Minutes,Loss Of Utility Power Minutes,Platform,Others,Others,integer,unix time,{}
0x2006,Time Login Session Initiated,Time the most recent ID was logged on,Radio,Others,Others,integer,unix time,{}
0x2006,Total EMP Other Errors,Countoftotal EMP errors other than protocol and data integrity errors,Wayside Interface Unit,Others,Others,integer,count,{}
0x2007,Transport Type,The network transport connection type,Messaging System,Others,Others,string,string,{}
0x2007,High Temperature (F),High Temperature (F),Platform,Others,Others,integer,unix time,{}
0x2007,Login Status,Current login status,Radio,Others,Others,integer,enumeration,"{""enumeration"":[{""0"": ""Logged off"", ""1"": ""User logged on"",""2"": ""Super user logged on""}]}"
0x2007,EMP Statistics Reset Time,Time of last asset statistics reset,Wayside Interface Unit,Others,Others,integer,unix time,{}
0x2008,Remote Area 15,The remote area EMP 15entifier,Messaging System,Others,Others,string,string,{}
0x2008,Low Temperature (F),Low Temperature (F),Platform,Others,Others,integer,unix time,{}
0x2008,Remote Area ID,The remote area EMP identifier,Radio,Others,Others,string,string,{}
0x2008,Previous WIU EMP Address,The WIU EMP address before the most recent change,Wayside Interface Unit,Others,Others,string,string,{}
0x2009,Host,"The hostname (deprecated, use Host 15 instead)",Messaging System,Others,Others,string,string,{}
0x2009,Vapp Checksum,Vapp Checksum,Platform,Others,Others,integer,unix time,{}
0x2009,Host,"The hostname (deprecated, use Host ID instead)",Radio,Others,Others,string,string,{}
0x2009,Current WIU Vital Software Checksum,The current vital software version checksum,Wayside Interface Unit,Others,Others,integer,string,{}
0x200a,Previous WIU Vital Software Checksum,The vital software version checksum before the most recent checksum,Wayside Interface Unit,Others,Others,integer,string,{}
0x200b,Battery Voltage,"Voltage and ID for each of the monitored battery banks (VDC) (ID, Voltage)",Wayside Interface Unit,Others,Others,string,string,{}
0x200C,Protocol Name,The name of the protocol,Messaging System,Others,Others,string,string,{}
0x200c,Protocol Name,The name of the protocol,Radio,Others,Others,integer,decimal,{}
0x200c,Utility Power,"Power on/off (0 = Off, 1 = On)",Wayside Interface Unit,Others,Others,integer,boolean,"{""boolean"": [{""0"": ""off"",""1"": ""on""}]}"
0x200d,Temperature,Current temperature of the wayside enclosure ( F),Wayside Interface Unit,Others,Others,integer,"degrees celsius,16-bits",{}
0x200E,Message Protocol Version,The protocol version in the incoming message.,Messaging System,Others,Others,integer,integer,{}
0x200e,Message Protocol Version,The protocol version in the incoming message,Radio,Others,Others,integer,decimal,{}
0x200e,Enclosure door State,State of the wayside enclosure door,Wayside Interface Unit,Others,Others,integer,boolean,"{""boolean"": [{""0"": ""closed"",""1"": ""open""}]}"
0x200F,Latest Protocol Version Supported (Component Protocol Version),The protocol version supported in the messaging component,Messaging System,Others,Others,integer,integer,{}
0x200f,Latest Protocol Version Supported (Component Protocol Version),The protocol version supported in the messaging component,Radio,Others,Others,integer,decimal,{}
0x200f,WIU Software Health,"Health status of WIU software (Software ID, Value)",Wayside Interface Unit,Others,Others,string,string,{}
0x2010,WIU Logic Controller Health,Health status of the WIU logic controller,Wayside Interface Unit,Others,Others,string,string,{}
0x2011,WIU Memory Health,Health status of the WIU memory,Wayside Interface Unit,Others,Others,string,string,{}
0x2012,ClassD Link Disconnected,ClassD Link Disconnected,Platform,Others,Others,integer,unix time,{}
0x2012,WIU Hardware Health,Health status of the WIU hardware,Wayside Interface Unit,Others,Others,string,string,{}
0x2013,Aspect State,"Lamp ID andcorresponding aspectstate (ID, State)",Wayside Interface Unit,Others,Others,string,string,{}
0x2014,Switch Position,"Switch ID and Position (ID, Position)",Wayside Interface Unit,Others,Others,string,string,{}
0x2015,WIU Emp Change,WIU Emp Change,Platform,Others,Others,integer,unix time,{}
0x2015,Communications Link State,Status of connection to ITCM application gateway,Wayside Interface Unit,Others,Others,integer,boolean,"{""boolean"": [{""0"": ""off"",""1"": ""on""}]}"
0x2016,WIU Beacon On,WIU Beacon On,Platform,Others,Others,integer,unix time,{}
0x2016,Beacon State,"Current state of WIU beacon (0 = Off, 1 = On)",Wayside Interface Unit,Others,Others,integer,boolean,"{""boolean"": [{""0"": ""off"",""1"": ""on""}]}"
0x2017,WIU Reboot,WIU Reboot,Platform,Others,Others,integer,unix time,{}
0x2017,WIU Reboot,Last WIU reboot,Wayside Interface Unit,Others,Others,integer,unix time,{}
0x2018,Hazard Detector State,"(0 = Off, 1 = On)",Wayside Interface Unit,Others,Others,integer,boolean,"{""boolean"": [{""0"": ""off"",""1"": ""on""}]}"
0x2019,I/O Status - Standalone WIU,"ID and current status of each individual I/O on WIU (ID, Status)",Wayside Interface Unit,Others,Others,string,string,{}
0x201a,Out of System Password Expiry,"Time the out-of-system password expires (Login, Unix Time Expiration)",Wayside Interface Unit,Others,Others,string,string,{}
0x201E,Component Instance 15,"The unique messaging 15entifier of a component instance (includes area information, component type and component instance). Only used in the back office.",Messaging System,Others,Others,string,string,{}
0x201e,Component Instance ID,"The unique messaging identifier of a component instance (includes area information, component type and component instance). Only used in the back office.",Radio,Others,Others,string,string,{}
0x2023,Reason Code,Reason for the failure,Messaging System,Others,Others,integer,integer,{}
0x2023,Reason Code,Reason for the failure,Radio,Others,Others,integer,integer,{}
0x2024,Process 15,P15 of the process triggering the notification,Messaging System,Others,Others,string,string,{}
0x2024,Process ID,PID of the process triggering the notification,Radio,Others,Others,string,string,{}
0x202A,Change Specifics (Changed Config Values),A list of the changes made to the configuration of the component,Messaging System,Others,Others,string,string,{}
0x202A,Change Specifics (Changed Config Values),A list of the changes made to the configuration of the component,Radio,Others,Others,string,string,{}
0x202B,Configuration Name,The name of the configuration file for the component,Messaging System,Others,Others,string,string,{}
0x202B,Configuration Name,The name of the configuration file for the component,Radio,Others,Others,string,string,{}
0x202C,User Name,The name of the user,Messaging System,Others,Others,string,string,{}
0x202C,User Name,The name of the user,Radio,Others,Others,string,string,{}
0x202D,Configuration Category,"Indication if a configuration is a running, start-up or named configuration",Messaging System,Others,Others,string,string,{}
0x202D,Configuration Category,"Indication if a configuration is a running, start-up or named configuration",Radio,Others,Others,string,string,{}
0x2400,External DC Voltage,"Voltage of the external DC power supply. For a wayside, this is the actual external voltage. For a base or loco, this is a comparator output",Radio,Others,Others,integer,milliVolts,{}
0x2401,Supply Voltage Under Transmit Load,"External DC voltage while the radio is transmitting. For a wayside, this is the actual external voltage. For a base or loco, this is a comparator output",Radio,Others,Others,integer,milliVolts,{}
0x2402,Forward (Transmit) Power,Radio transmit forward power,Radio,Others,Others,signed integer,dBm,{}
0x2403,Reflected Power,Radio transmit reflected power,Radio,Others,Others,signed integer,dBm,{}
0x2404,VSWR,Voltage Standing Wave Ratio * 10. A value of 0 represents Open or Short.,Radio,Others,Others,integer,"ratio,in tenths",{}
0x2430,ITCnet Connection Status,Status of RF Connection,Radio,Others,Others,string,string,{}
0x2431,Standby Status,"Status of Transmitter (On=0, or Off=1, per standby logic)",Radio,Others,Others,integer,boolean,"{""13"": [{""0"": ""on"",""1"": ""off""}]}"
0x2433,Bad Transmitter/Antenna Reason,Reason(s) the bad transmitter/antenna condition exists (Refer to Section 4.3.2),Radio,Others,Others,integer,bitmask,"{""14"": [{""0x00"": ""No problem"",""0x01"": ""VSWR is more than 3:1"",""0x02"": ""Transmitter low power"",""0x04"": ""Transmitter over temperature"",""0x08"": ""CIM script failure""}]}"
0x2580 ,RAM Address Test Status ,"The pass/fail status of the RAM Address test (0=Fail, 1=Pass) ",Radio,Others,Others,integer,boolean,"{""13"": [{""0"": ""Fail"",""1"": ""Pass""}]}"
0x2581 ,RAM Data Test Status ,"The pass/fail status of the RAM Data test (0=Fail, 1=Pass) ",Radio,Others,Others,integer,boolean,"{""13"": [{""0"": ""Fail"",""1"": ""Pass""}]}"
0x2600 ,Configured Power ,Transmit site-assigned power in 19 * 1000 units ,Radio,Others,Others,signed integer,dBm,{}
0x2800 ,ITCM Connection Duration ,Duration of current HRX connection in minutes ,Radio,Others,Others,integer,minutes,{}
0x2801 ,ITCM Connection Status ,"Status of HRX connection: 1=HRX connected, 0= HRX disconnected ",Radio,Others,Others,integer,boolean,"{""13"": [{""0"": ""HRX connected"",""1"": ""HRX disconnected""}]}"
0x2802 ,Last ITCM Message Received Time ,Timestamp of last HRX Message received ,Radio,Others,Others,integer,unix time,{}
0x2803 ,Last ITCM Message Sent Time ,Timestamp of last HRX Message transmitted ,Radio,Others,Others,integer,unix time,{}
0x2804 ,ITCM  Statistics Reset Time ,Timestamp when HRX statistics were last reset ,Radio,Others,Others,integer,unix time,{}
0x2805 ,Total ITCM Errors ,Total number of HRX Errors ,Radio,Others,Others,integer,count,{}
0x2806 ,Total ITCM Messages Received ,Total number of HRX Messages Received ,Radio,Others,Others,integer,count,{}
0x2807 ,Total ITCM Messages Sent ,Total number of HRX Messages Sent ,Radio,Others,Others,integer,count,{}
